Cell,month,RUNOFF,BASEFLOW
        38,        10,    45.949,    11.759
        38,        11,     1.958,     1.670
        38,        12,     0.008,     0.008
        39,         1,     1.527,     1.353
        39,         2,     0.010,     0.009
        39,         3,     1.548,     0.109
        39,         4,    22.375,     3.595
        39,         5,   107.583,    21.037
        39,         6,   119.560,    25.319
        39,         7,   131.570,    28.678
        39,         8,   127.112,    27.944
        39,         9,    97.224,    22.194
        39,        10,    42.521,    11.178
        39,        11,     1.823,     1.537
        39,        12,     0.008,     0.008
        40,         1,     1.495,     1.347
        40,         2,     0.009,     0.008
        40,         3,     1.832,     0.190
        40,         4,    47.970,     9.014
        40,         5,    88.023,    17.640
        40,         6,   106.307,    22.465
        40,         7,   125.164,    27.136
        40,         8,   125.213,    27.454
        40,         9,    96.468,    22.010
        40,        10,    50.837,    12.773
        40,        11,     2.150,     1.855
        40,        12,     0.009,     0.009
        41,         1,     1.436,     1.334
        41,         2,     0.006,     0.006
        41,         3,     8.141,     1.413
        41,         4,    35.263,     6.575
        41,         5,    73.254,    13.357
        41,         6,    91.167,    18.777
        41,         7,   109.308,    23.659
        41,         8,   110.931,    24.236
        41,         9,    85.656,    19.505
        41,        10,    44.689,    11.251
        41,        11,     1.944,     1.637
        41,        12,     0.008,     0.008
        42,         1,     1.423,     1.330
        42,         2,     1.114,     0.214
        42,         3,     7.062,     0.906
        42,         4,    21.769,     3.898
        42,         5,    59.361,    10.371
        42,         6,    76.222,    15.146
        42,         7,    92.234,    20.041
        42,         8,    96.129,    20.941
        42,         9,    76.058,    17.208
        42,        10,    39.895,    10.019
        42,        11,     2.373,     1.592
        42,        12,     0.014,     0.014
        43,         1,     1.419,     1.330
        43,         2,     0.599,     0.110
        43,         3,     8.394,     1.222
        43,         4,    22.392,     4.041
        43,         5,    59.573,    10.302
        43,         6,    76.542,    15.188
        43,         7,    91.841,    20.019
        43,         8,    95.848,    20.900
        43,         9,    76.155,    17.222
        43,        10,    39.189,     9.889
        43,        11,     2.175,     1.530
        43,        12,     0.010,     0.010
        44,         1,     1.419,     1.329
        44,         2,     0.006,     0.006
        44,         3,     6.634,     1.060
        44,         4,    30.459,     5.656
        44,         5,    64.798,    11.593
        44,         6,    81.745,    16.228
        44,         7,    98.709,    21.370
        44,         8,   101.203,    22.063
        44,         9,    76.939,    17.521
        44,        10,    38.132,     9.706
        44,        11,     1.655,     1.385
        44,        12,     0.007,     0.007
        45,         1,     5.977,     5.977
        45,         2,     2.582,     2.582
        45,         3,     3.286,     3.286
        45,         4,    18.390,    16.986
        45,         5,    67.988,    38.200
        45,         6,    95.092,    42.499
        45,         7,   113.401,    45.330
        45,         8,   117.821,    44.157
        45,         9,    87.508,    42.133
        45,        10,    50.708,    38.307
        45,        11,    20.951,    20.938
        45,        12,     9.720,     9.720
        46,         1,     1.445,     1.336
        46,         2,     0.006,     0.006
        46,         3,     0.667,     0.033
        46,         4,    36.881,     6.221
        46,         5,    88.032,    16.850
        46,         6,   105.261,    21.754
        46,         7,   122.272,    26.453
        46,         8,   121.590,    26.576
        46,         9,    91.574,    20.938
        46,        10,    42.593,    11.022
        46,        11,     1.772,     1.528
        46,        12,     0.008,     0.008
        47,         1,     1.442,     1.335
        47,         2,     0.006,     0.006
        47,         3,     0.262,     0.011
        47,         4,    43.516,     7.972
        47,         5,    78.523,    14.455
        47,         6,    95.203,    19.238
        47,         7,   113.378,    24.512
        47,         8,   115.100,    25.106
        47,         9,    87.565,    19.974
        47,        10,    45.162,    11.394
        47,        11,     1.864,     1.630
        47,        12,     0.008,     0.008
        48,         1,     1.429,     1.332
        48,         2,     0.006,     0.006
        48,         3,     7.539,     1.287
        48,         4,    33.550,     6.304
        48,         5,    69.648,    12.513
        48,         6,    87.412,    17.226
        48,         7,   105.460,    22.802
        48,         8,   108.652,    23.675
        48,         9,    83.023,    18.913
        48,        10,    42.150,    10.671
        48,        11,     1.811,     1.533
        48,        12,     0.008,     0.008
        49,         1,     1.424,     1.330
        49,         2,     0.056,     0.002
        49,         3,     7.844,     1.070
        49,         4,    21.980,     3.917
        49,         5,    60.635,    10.699
        49,         6,    79.024,    14.970
        49,         7,    98.631,    21.089
        49,         8,   103.001,    22.370
        49,         9,    78.649,    17.883
        49,        10,    39.344,     9.986
        49,        11,     2.184,     1.530
        49,        12,     0.008,     0.008
        50,         1,     1.434,     1.333
        50,         2,     0.006,     0.006
        50,         3,    10.632,     1.876
        50,         4,    31.379,     5.959
        50,         5,    66.316,    12.066
        50,         6,    82.573,    16.586
        50,         7,    98.874,    21.442
        50,         8,   102.679,    22.352
        50,         9,    78.698,    17.910
        50,        10,    41.713,    10.450
        50,        11,     1.806,     1.527
        50,        12,     0.008,     0.008
        51,         1,     1.420,     1.329
        51,         2,     1.305,     0.257
        51,         3,    11.056,     1.875
        51,         4,    22.823,     4.560
        51,         5,    56.783,    10.171
        51,         6,    72.705,    13.786
        51,         7,    90.452,    19.010
        51,         8,    95.688,    20.775
        51,         9,    72.099,    16.420
        51,        10,    37.367,     9.398
        51,        11,     1.781,     1.398
        51,        12,     0.007,     0.007
        52,         1,     1.305,     1.305
        52,         2,     0.047,     0.004
        52,         3,     5.381,     0.524
        52,         4,    16.766,     2.866
        52,         5,    51.672,     8.866
        52,         6,    67.447,    12.722
        52,         7,    83.967,    17.091
        52,         8,    90.849,    19.633
        52,         9,    69.081,    15.680
        52,        10,    35.522,     8.936
        52,        11,     2.607,     1.510
        52,        12,     0.025,     0.025
        53,         1,     1.418,     1.329
        53,         2,     1.109,     0.216
        53,         3,    10.548,     1.725
        53,         4,    22.030,     4.264
        53,         5,    54.695,     9.755
        53,         6,    68.505,    13.056
        53,         7,    83.726,    17.630
        53,         8,    90.199,    19.567
        53,         9,    69.895,    15.842
        53,        10,    37.294,     9.316
        53,        11,     2.139,     1.470
        53,        12,     0.017,     0.017
        54,         1,     1.208,     1.114
        54,         2,     1.269,     0.186
        54,         3,     6.764,     0.694
        54,         4,    18.594,     2.727
        54,         5,    53.013,     7.918
        54,         6,    69.953,    12.012
        54,         7,    86.884,    16.239
        54,         8,    93.011,    17.533
        54,         9,    70.641,    13.936
        54,        10,    36.064,     7.881
        54,        11,     1.923,     1.279
        54,        12,     0.009,     0.009
        55,         1,     1.094,     1.094
        55,         2,     0.020,     0.004
        55,         3,     5.026,     0.331
        55,         4,    15.138,     1.910
        55,         5,    48.561,     6.811
        55,         6,    64.730,    11.110
        55,         7,    80.591,    15.044
        55,         8,    87.296,    16.607
        55,         9,    65.948,    13.135
        55,        10,    33.481,     7.368
        55,        11,     2.386,     1.288
        55,        12,     0.023,     0.023
        56,         1,     1.203,     1.113
        56,         2,     0.107,     0.005
        56,         3,     5.791,     0.464
        56,         4,    17.238,     2.384
        56,         5,    50.356,     7.493
        56,         6,    66.946,    11.535
        56,         7,    83.926,    15.680
        56,         8,    90.029,    17.046
        56,         9,    67.311,    13.373
        56,        10,    34.579,     7.562
        56,        11,     2.508,     1.338
        56,        12,     0.029,     0.029
        57,         1,     1.094,     1.094
        57,         2,     0.117,     0.016
        57,         3,     5.799,     0.530
        57,         4,    17.110,     2.259
        57,         5,    52.217,     7.159
        57,         6,    69.955,    12.276
        57,         7,    86.075,    16.059
        57,         8,    92.769,    17.471
        57,         9,    70.450,    13.890
        57,        10,    36.476,     7.938
        57,        11,     2.994,     1.467
        57,        12,     0.040,     0.040
        58,         1,     1.094,     1.094
        58,         2,     0.218,     0.035
        58,         3,     6.152,     0.533
        58,         4,    17.454,     2.224
        58,         5,    52.859,     7.337
        58,         6,    71.724,    12.758
        58,         7,    86.389,    16.286
        58,         8,    92.810,    17.557
        58,         9,    71.225,    14.073
        58,        10,    37.122,     8.088
        58,        11,     3.042,     1.498
        58,        12,     0.040,     0.040
        59,         1,     1.422,     1.330
        59,         2,     0.509,     0.055
        59,         3,     9.724,     1.556
        59,         4,    22.717,     4.225
        59,         5,    59.967,    10.597
        59,         6,    80.239,    15.712
        59,         7,    98.318,    21.286
        59,         8,   103.859,    22.548
        59,         9,    77.545,    17.719
        59,        10,    39.564,     9.991
        59,        11,     2.482,     1.601
        59,        12,     0.019,     0.019
        60,         1,     1.432,     1.333
        60,         2,     0.006,     0.006
        60,         3,    11.003,     1.954
        60,         4,    32.140,     6.221
        60,         5,    67.895,    12.344
        60,         6,    86.732,    17.147
        60,         7,   105.982,    22.710
        60,         8,   110.858,    24.052
        60,         9,    81.858,    18.753
        60,        10,    41.977,    10.595
        60,        11,     1.775,     1.522
        60,        12,     0.008,     0.008
        61,         1,     1.434,     1.333
        61,         2,     0.006,     0.006
        61,         3,     0.926,     0.050
        61,         4,    43.317,     7.890
        61,         5,    76.189,    14.402
        61,         6,    92.178,    18.789
        61,         7,   109.438,    23.727
        61,         8,   114.042,    24.799
        61,         9,    85.444,    19.547
        61,        10,    44.676,    11.230
        61,        11,     1.865,     1.620
        61,        12,     0.008,     0.008
        62,         1,     1.433,     1.333
        62,         2,     0.006,     0.006
        62,         3,     6.269,     1.135
        62,         4,    38.473,     7.230
        62,         5,    71.437,    13.232
        62,         6,    88.120,    17.612
        62,         7,   106.117,    22.831
        62,         8,   111.286,    24.154
        62,         9,    82.893,    18.966
        62,        10,    42.998,    10.825
        62,        11,     1.767,     1.551
        62,        12,     0.008,     0.008
        63,         1,     1.429,     1.332
        63,         2,     0.006,     0.006
        63,         3,     8.559,     1.425
        63,         4,    35.039,     6.595
        63,         5,    70.366,    12.815
        63,         6,    89.132,    17.830
        63,         7,   108.499,    23.400
        63,         8,   113.778,    24.702
        63,         9,    84.322,    19.323
        63,        10,    42.773,    10.829
        63,        11,     1.829,     1.554
        63,        12,     0.008,     0.008
        64,         1,     1.438,     1.334
        64,         2,     0.006,     0.006
        64,         3,     0.459,     0.022
