ID,Watershed,UZTWM,UZFWM,UZK,ZPERC,REXP,LZTWM,LZFSM,LZFPM,LZSK,LZPK,PFREE
97,97,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
98,98,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
99,99,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
100,100,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
101,101,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
102,102,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
103,103,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
104,104,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
105,105,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
106,106,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
107,107,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
108,108,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
109,109,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
110,110,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
111,111,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
112,112,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
113,113,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
114,114,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
115,115,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
116,116,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
117,117,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
118,118,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
119,119,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
120,120,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
121,121,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
122,122,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
123,123,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
124,124,26.28,21.9,0.51,60.68,0.96,27.72,1.96,21.14,0.17,0.02,0.09
125,125,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
126,126,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
127,127,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
128,128,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
129,129,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
130,130,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
131,131,34.24,29.96,0.46,70.23,2.16,125.76,17.61,92.43,0.17,0,0.16
132,132,34.24,29.96,0.46,70.23,2.16,125.76,17.61,92.43,0.17,0,0.16
133,133,34.24,29.96,0.46,70.23,2.16,125.76,17.61,92.43,0.17,0,0.16
134,134,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
135,135,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
136,136,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
137,137,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
138,138,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
139,139,34.24,29.96,0.46,70.54,0.96,13.76,1.93,10.11,0.16,0.01,0.16
140,140,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
141,141,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
142,142,34.24,29.96,0.46,49.18,2.6,118.76,20.97,54.07,0.18,0,0.28
